IA_normalizado;Grupo_IRAC;Nome_Grupo_Principal;Subgrupo_ou_Classe;Comite;Fonte
gs-omega/kappa-hxtx-hv1a;32;Moduladores alostéricos do nAChR – Sítio II;GS-omega/kappa HXTX-Hv1a peptide;IRAC;IRAC MoA Classification v11.x
acinonapir;33;Moduladores de canais de potássio ativados por cálcio;Acinonapir;IRAC;IRAC MoA Classification v11.x
acynonapyr;33;Moduladores de canais de potássio ativados por cálcio;Acinonapir;IRAC;IRAC MoA Classification v11.x
flometoquin;34;Inibidores do transporte de elétrons no complexo III (sítio Qi);Flometoquina;IRAC;IRAC MoA Classification v11.x
ledprona;35;Supressores de alvo mediados por RNAi;Ledprona;IRAC;IRAC MoA Classification v11.x
vadescana;35;Supressores de alvo mediados por RNAi;Ledprona;IRAC;IRAC MoA Classification v11.x
oxazosulfil;37;Inibidores do transportador vesicular de acetilcolina (VAChT);Oxazosulfil;IRAC;IRAC MoA Classification v11.x
oxazosulfyl;37;Inibidores do transportador vesicular de acetilcolina (VAChT);Oxazosulfil;IRAC;IRAC MoA Classification v11.x
acrinathrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
acrinatrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
alfa-cipermetrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
allethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
alpha-cypermethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
beta-ciflutrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
beta-cipermetrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
beta-cyfluthrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
beta-cypermethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
bifenthrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
bifentrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
bioallethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
bioresmethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
ciflutrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
cihalotrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
cipermetrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
cycloprothrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
cyfluthrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
cyhalothrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
cypermethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
cyphenothrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
deltamethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
deltametrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
esfenvalerate;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
esfenvalerato;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
etofenprox;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
etofenproxi;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
fenpropathrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
fenpropatrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
fenvalerate;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
fenvalerato;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
flucythrinate;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
flumethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
gama-cialotrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
gamma-cyhalothrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
imiprothrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
lambda-cialotrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
lambda-cihalotrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
lambda-cyhalothrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
permethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
permetrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
phenothrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
piretrinas;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
prallethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
pyrethrins;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
resmethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
tau-fluvalinate;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
tau-fluvalinato;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
tefluthrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
teflutrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
tetramethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
tralomethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
zeta-cipermetrina;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
zeta-cypermethrin;3A;Moduladores de canais de sódio;Piretroides e piretrinas;IRAC;IRAC MoA Classification v11.x
ddt;3B;Moduladores de canais de sódio;DDT e análogos;IRAC;IRAC MoA Classification v11.x
methoxychlor;3B;Moduladores de canais de sódio;DDT e análogos;IRAC;IRAC MoA Classification v11.x
metoxicloro;3B;Moduladores de canais de sódio;DDT e análogos;IRAC;IRAC MoA Classification v11.x
acetamiprid;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
acetamiprido;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
clothianidin;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
clotianidina;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
dinotefuran;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
dinotefurano;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
imidacloprid;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
imidacloprido;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
nitenpiram;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
nitenpyram;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
thiacloprid;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
thiamethoxam;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
tiacloprido;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
tiametoxam;4A;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Neonicotinoides;IRAC;IRAC MoA Classification v11.x
nicotina;4B;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Nicotina;IRAC;IRAC MoA Classification v11.x
nicotine;4B;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Nicotina;IRAC;IRAC MoA Classification v11.x
sulfoxaflor;4C;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Sulfoximinas;IRAC;IRAC MoA Classification v11.x
flupiradifurona;4D;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Butenolidas;IRAC;IRAC MoA Classification v11.x
flupyradifurone;4D;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Butenolidas;IRAC;IRAC MoA Classification v11.x
fenmezoditiaz;4E;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Mesoionicos;IRAC;IRAC MoA Classification v11.x
triflumezopyrim;4E;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Mesoionicos;IRAC;IRAC MoA Classification v11.x
flupyrimin;4F;Moduladores competitivos do receptor nicotínico de acetilcolina (nAChR);Piridilideno-amino-heterociclos;IRAC;IRAC MoA Classification v11.x
espinetoram;5;Moduladores alostéricos do nAChR – Sítio I;Espinosinas;IRAC;IRAC MoA Classification v11.x
espinosade;5;Moduladores alostéricos do nAChR – Sítio I;Espinosinas;IRAC;IRAC MoA Classification v11.x
spinetoram;5;Moduladores alostéricos do nAChR – Sítio I;Espinosinas;IRAC;IRAC MoA Classification v11.x
spinosad;5;Moduladores alostéricos do nAChR – Sítio I;Espinosinas;IRAC;IRAC MoA Classification v11.x
abamectin;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
abamectina;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
benzoato de emamectina;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
emamectin;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
emamectin benzoate;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
emamectina;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
ivermectin;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
lepimectin;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
milbemectin;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
milbemectina;6;Moduladores alostéricos de canais de cloro mediados por glutamato;Avermectinas e milbemicinas;IRAC;IRAC MoA Classification v11.x
hydroprene;7A;Miméticos do hormônio juvenil;Análogos do hormônio juvenil;IRAC;IRAC MoA Classification v11.x
kinoprene;7A;Miméticos do hormônio juvenil;Análogos do hormônio juvenil;IRAC;IRAC MoA Classification v11.x
methoprene;7A;Miméticos do hormônio juvenil;Análogos do hormônio juvenil;IRAC;IRAC MoA Classification v11.x
metoprene;7A;Miméticos do hormônio juvenil;Análogos do hormônio juvenil;IRAC;IRAC MoA Classification v11.x
fenoxicarbe;7B;Miméticos do hormônio juvenil;Fenoxicarb;IRAC;IRAC MoA Classification v11.x
fenoxycarb;7B;Miméticos do hormônio juvenil;Fenoxicarb;IRAC;IRAC MoA Classification v11.x
piriproxifen;7C;Miméticos do hormônio juvenil;Piriproxifen;IRAC;IRAC MoA Classification v11.x
pyriproxyfen;7C;Miméticos do hormônio juvenil;Piriproxifen;IRAC;IRAC MoA Classification v11.x
brometo de metila;8A;Inibidores não específicos (multi-sítio);Halogenetos de alquila;IRAC;IRAC MoA Classification v11.x
methyl bromide;8A;Inibidores não específicos (multi-sítio);Halogenetos de alquila;IRAC;IRAC MoA Classification v11.x
chloropicrin;8B;Inibidores não específicos (multi-sítio);Cloropicrina;IRAC;IRAC MoA Classification v11.x
cloropicrina;8B;Inibidores não específicos (multi-sítio);Cloropicrina;IRAC;IRAC MoA Classification v11.x
criolita;8C;Inibidores não específicos (multi-sítio);Fluoretos;IRAC;IRAC MoA Classification v11.x
cryolite;8C;Inibidores não específicos (multi-sítio);Fluoretos;IRAC;IRAC MoA Classification v11.x
sodium fluoride;8C;Inibidores não específicos (multi-sítio);Fluoretos;IRAC;IRAC MoA Classification v11.x
acido borico;8D;Inibidores não específicos (multi-sítio);Boratos;IRAC;IRAC MoA Classification v11.x
borax;8D;Inibidores não específicos (multi-sítio);Boratos;IRAC;IRAC MoA Classification v11.x
boric acid;8D;Inibidores não específicos (multi-sítio);Boratos;IRAC;IRAC MoA Classification v11.x
tartar emetic;8E;Inibidores não específicos (multi-sítio);Tartarato de antimônio e potássio;IRAC;IRAC MoA Classification v11.x
dazomet;8F;Inibidores não específicos (multi-sítio);Isotiocianato de metila geradores;IRAC;IRAC MoA Classification v11.x
metam;8F;Inibidores não específicos (multi-sítio);Isotiocianato de metila geradores;IRAC;IRAC MoA Classification v11.x
metam-sodio;8F;Inibidores não específicos (multi-sítio);Isotiocianato de metila geradores;IRAC;IRAC MoA Classification v11.x
metam-sodium;8F;Inibidores não específicos (multi-sítio);Isotiocianato de metila geradores;IRAC;IRAC MoA Classification v11.x
pimetrozina;9B;Moduladores de canais TRPV de órgãos cordotonais;Piridinazometinas;IRAC;IRAC MoA Classification v11.x
pymetrozine;9B;Moduladores de canais TRPV de órgãos cordotonais;Piridinazometinas;IRAC;IRAC MoA Classification v11.x
pyrifluquinazon;9B;Moduladores de canais TRPV de órgãos cordotonais;Piridinazometinas;IRAC;IRAC MoA Classification v11.x
afidopiropeno;9D;Moduladores de canais TRPV de órgãos cordotonais;Pirropenos;IRAC;IRAC MoA Classification v11.x
afidopyropen;9D;Moduladores de canais TRPV de órgãos cordotonais;Pirropenos;IRAC;IRAC MoA Classification v11.x
azadirachtin;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
azadiractina;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
benzoximate;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
chinomethionat;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
dicofol;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
enxofre;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
piridalil;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
pyridalyl;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
sulfur;UN;Modo de ação desconhecido ou incerto;Compostos;IRAC;IRAC MoA Classification v11.x
burkholderia spp;UNB;Modo de ação desconhecido ou incerto;Agentes bacterianos;IRAC;IRAC MoA Classification v11.x
chromobacterium subtsugae;UNB;Modo de ação desconhecido ou incerto;Agentes bacterianos;IRAC;IRAC MoA Classification v11.x
wolbachia pipientis;UNB;Modo de ação desconhecido ou incerto;Agentes bacterianos;IRAC;IRAC MoA Classification v11.x
chenopodium ambrosioides extract;UNE;Modo de ação desconhecido ou incerto;Extratos e óleos botânicos;IRAC;IRAC MoA Classification v11.x
fatty acid monoesters;UNE;Modo de ação desconhecido ou incerto;Extratos e óleos botânicos;IRAC;IRAC MoA Classification v11.x
neem oil;UNE;Modo de ação desconhecido ou incerto;Extratos e óleos botânicos;IRAC;IRAC MoA Classification v11.x
oleo de neem;UNE;Modo de ação desconhecido ou incerto;Extratos e óleos botânicos;IRAC;IRAC MoA Classification v11.x
beauveria bassiana;UNF;Modo de ação desconhecido ou incerto;Agentes fúngicos;IRAC;IRAC MoA Classification v11.x
isaria fumosorosea;UNF;Modo de ação desconhecido ou incerto;Agentes fúngicos;IRAC;IRAC MoA Classification v11.x
lecanicillium muscarium;UNF;Modo de ação desconhecido ou incerto;Agentes fúngicos;IRAC;IRAC MoA Classification v11.x
metarhizium anisopliae;UNF;Modo de ação desconhecido ou incerto;Agentes fúngicos;IRAC;IRAC MoA Classification v11.x
metarhizium brunneum;UNF;Modo de ação desconhecido ou incerto;Agentes fúngicos;IRAC;IRAC MoA Classification v11.x
paecilomyces fumosoroseus;UNF;Modo de ação desconhecido ou incerto;Agentes fúngicos;IRAC;IRAC MoA Classification v11.x
verticillium lecanii;UNF;Modo de ação desconhecido ou incerto;Agentes fúngicos;IRAC;IRAC MoA Classification v11.x
diatomaceous earth;UNM;Modo de ação desconhecido ou incerto;Disruptors mecânicos e físicos;IRAC;IRAC MoA Classification v11.x
mineral oil;UNM;Modo de ação desconhecido ou incerto;Disruptors mecânicos e físicos;IRAC;IRAC MoA Classification v11.x
oleo mineral;UNM;Modo de ação desconhecido ou incerto;Disruptors mecânicos e físicos;IRAC;IRAC MoA Classification v11.x
perlite;UNM;Modo de ação desconhecido ou incerto;Disruptors mecânicos e físicos;IRAC;IRAC MoA Classification v11.x
terra diatomacea;UNM;Modo de ação desconhecido ou incerto;Disruptors mecânicos e físicos;IRAC;IRAC MoA Classification v11.x
